rank,number,background,body,hat,accessory,score
970,957,19.49,22.591,24.85,28.4,95.331
971,323,19.49,22.591,30.121,23.116,95.318
972,5,17.138,24.85,24.85,28.4,95.238
973,24,19.115,25.487,24.85,25.487,94.939
974,642,19.49,24.244,25.487,25.487,94.708
975,402,20.708,24.244,24.244,25.487,94.683
976,915,19.49,22.591,26.865,25.487,94.433
977,220,17.75,23.667,23.667,29.235,94.319
978,987,17.75,22.591,25.487,28.4,94.228
979,196,19.115,24.85,23.667,26.158,93.79
980,153,19.115,22.591,23.667,28.4,93.773
981,255,19.115,24.244,24.244,26.158,93.761
982,10,19.49,24.244,23.667,26.158,93.559
983,257,17.138,24.85,23.667,27.611,93.266
984,903,19.115,24.244,23.667,26.158,93.184
985,154,19.115,23.667,24.244,26.158,93.184
986,137,19.115,24.244,23.667,26.158,93.184
987,579,17.138,24.244,25.487,26.158,93.027
988,617,22.089,24.244,23.667,22.591,92.591
989,52,17.138,24.85,27.611,22.591,92.19
990,134,17.138,24.244,26.865,23.116,91.363
991,286,18.407,25.487,24.85,22.591,91.335
992,397,17.138,24.244,26.158,22.591,90.131
993,465,18.407,24.85,23.667,23.116,90.04
994,806,17.75,24.85,24.244,22.591,89.435
